timestamp,value
2022-01-01,0.325
2022-01-02,0.546
2022-01-03,0.231
2022-01-04,0.912
2022-01-05,0.678
2022-01-06,0.123
2022-01-07,0.789
2022-01-08,0.432
2022-01-09,0.567
2022-01-10,0.876
2022-01-11,0.345
2022-01-12,0.678
2022-01-13,0.923
2022-01-14,0.567
2022-01-15,0.789
2022-01-16,0.234
2022-01-17,0.890
2022-01-18,0.432
2022-01-19,0.123
2022-01-20,0.789
2022-01-21,0.456
2022-01-22,0.678
2022-01-23,0.789
2022-01-24,0.234
2022-01-25,0.567
2022-01-26,0.901
2022-01-27,0.789
2022-01-28,0.123
2022-01-29,0.567
2022-01-30,0.678
2022-01-01,0.325
2022-01-02,0.546
2022-01-03,0.231
2022-01-04,0.912
2022-01-05,0.678
2022-01-06,0.123
2022-01-07,0.789
2022-01-08,0.432
2022-01-09,0.567
2022-01-10,0.876
2022-01-11,0.345
2022-01-12,0.678
2022-01-13,0.923
2022-01-14,0.567
2022-01-15,0.789
2022-01-16,0.234
2022-01-17,0.890
2022-01-18,0.432
2022-01-19,0.123
2022-01-20,0.789
2022-01-21,0.456
2022-01-22,0.678
2022-01-23,0.789
2022-01-24,0.234
2022-01-25,0.567
2022-01-26,0.901
2022-01-27,0.789
2022-01-28,0.123
2022-01-29,0.567
2022-01-30,0.678
2022-01-31,0.456
2022-02-01,0.678
2022-02-02,0.567
2022-02-03,0.789
2022-02-04,0.234
2022-02-05,0.901
2022-02-06,0.789
2022-02-07,0.123
2022-02-08,0.567
2022-02-09,0.678
2022-02-10,0.456
2022-02-11,0.678
2022-02-12,0.567
2022-02-13,0.789
2022-02-14,0.234
2022-02-15,0.901
2022-02-16,0.789
2022-02-17,0.123
2022-02-18,0.567
2022-02-19,0.678
2022-02-20,0.456
2022-02-21,0.678
2022-02-22,0.567
2022-02-23,0.789
2022-02-24,0.234
2022-02-25,0.901
2022-02-26,0.789
2022-02-27,0.123
2022-02-28,0.567
2022-03-01,0.678
2022-03-02,0.456
2022-03-03,0.678
2022-03-04,0.567
2022-03-05,0.789
2022-03-06,0.234
2022-03-07,0.901
2022-03-08,0.789






